,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
O03E,"6,469.80","6,469.80",,,,,"6,780.30","6,780.30","7,120.50","7,120.50","7,340.10","7,340.10","7,701.60","7,701.60","8,007.00","8,007.00","8,182.50","8,182.50","8,421.00","8,421.00","8,421.00","8,421.00","8,421.00","8,421.00","8,421.00","8,421.00","8,421.00","8,421.00","8,421.00","8,421.00","8,421.00","8,421.00","8,421.00","8,421.00","8,421.00","8,421.00","8,421.00","8,421.00","8,421.00","8,421.00","8,421.00"
O02E,"5,682.60","5,682.60",,,,,"5,799.30","5,799.30","5,983.80","5,983.80","6,295.50","6,295.50","6,536.70","6,536.70","6,715.80","6,715.80","6,715.80","6,715.80","6,715.80","6,715.80","6,715.80","6,715.80","6,715.80","6,715.80","6,715.80","6,715.80","6,715.80","6,715.80","6,715.80","6,715.80","6,715.80","6,715.80","6,715.80","6,715.80","6,715.80","6,715.80","6,715.80","6,715.80","6,715.80","6,715.80","6,715.80"
O01E,"4,576.80","4,576.80",,,,,"4,887.00","4,887.00","5,067.90","5,067.90","5,252.70","5,252.70","5,433.90","5,433.90","5,682.60","5,682.60","5,682.60","5,682.60","5,682.60","5,682.60","5,682.60","5,682.60","5,682.60","5,682.60","5,682.60","5,682.60","5,682.60","5,682.60","5,682.60","5,682.60","5,682.60","5,682.60","5,682.60","5,682.60","5,682.60","5,682.60","5,682.60","5,682.60","5,682.60","5,682.60","5,682.60"
W05,,,,,,,,,,,,,,,,,,,,,"8,912.10","8,912.10","9,364.20","9,364.20","9,701.10","9,701.10","10,073.40","10,073.40","10,073.40","10,073.40","10,578.00","10,578.00","10,578.00","10,578.00","11,106.00","11,106.00","11,106.00","11,106.00","11,662.50","11,662.50","11,662.50"
W04,"5,012.40","5,012.40","5,391.30","5,546.10","5,698.20","5,698.20","5,960.70","5,960.70","6,220.20","6,220.20","6,483.00","6,483.00","6,877.80","6,877.80","7,224.30","7,224.30","7,554.00","7,554.00","7,824.30","7,824.30","8,087.70","8,087.70","8,473.80","8,473.80","8,791.50","8,791.50","9,153.60","9,153.60","9,153.60","9,153.60","9,336.30","9,336.30","9,336.30","9,336.30","9,336.30","9,336.30","9,336.30","9,336.30","9,336.30","9,336.30","9,336.30"
W03,"4,577.70","4,577.70","4,767.90","4,964.10","5,027.70","5,027.70","5,232.30","5,232.30","5,635.80","5,635.80","6,055.80","6,055.80","6,253.80","6,253.80","6,482.70","6,482.70","6,718.20","6,718.20","7,142.40","7,142.40","7,428.30","7,428.30","7,599.60","7,599.60","7,781.40","7,781.40","8,029.50","8,029.50","8,029.50","8,029.50","8,029.50","8,029.50","8,029.50","8,029.50","8,029.50","8,029.50","8,029.50","8,029.50","8,029.50","8,029.50","8,029.50"
W02,"4,050.30","4,050.30","4,433.40","4,551.00","4,632.30","4,632.30","4,894.80","4,894.80","5,302.80","5,302.80","5,505.60","5,505.60","5,704.50","5,704.50","5,948.10","5,948.10","6,138.60","6,138.60","6,310.80","6,310.80","6,517.20","6,517.20","6,652.80","6,652.80","6,760.20","6,760.20","6,760.20","6,760.20","6,760.20","6,760.20","6,760.20","6,760.20","6,760.20","6,760.20","6,760.20","6,760.20","6,760.20","6,760.20","6,760.20","6,760.20","6,760.20"
W01,"3,555.00","3,555.00","3,938.10","4,040.70","4,258.20","4,258.20","4,515.00","4,515.00","4,893.90","4,893.90","5,070.60","5,070.60","5,318.70","5,318.70","5,561.70","5,561.70","5,753.10","5,753.10","5,929.20","5,929.20","6,143.40","6,143.40","6,143.40","6,143.40","6,143.40","6,143.40","6,143.40","6,143.40","6,143.40","6,143.40","6,143.40","6,143.40","6,143.40","6,143.40","6,143.40","6,143.40","6,143.40","6,143.40","6,143.40","6,143.40","6,143.40"
E09,,,,,,,,,,,"6,055.50","6,055.50","6,192.90","6,192.90","6,365.70","6,365.70","6,568.80","6,568.80","6,774.90","6,774.90","7,102.80","7,102.80","7,381.50","7,381.50","7,673.70","7,673.70","8,121.60","8,121.60","8,121.60","8,121.60","8,526.90","8,526.90","8,526.90","8,526.90","8,953.80","8,953.80","8,953.80","8,953.80","9,402.30","9,402.30","9,402.30"
E08,,,,,,,,,"4,957.20","4,957.20","5,176.50","5,176.50","5,312.10","5,312.10","5,474.70","5,474.70","5,650.80","5,650.80","5,968.80","5,968.80","6,130.20","6,130.20","6,404.40","6,404.40","6,556.50","6,556.50","6,930.90","6,930.90","6,930.90","6,930.90","7,069.80","7,069.80","7,069.80","7,069.80","7,069.80","7,069.80","7,069.80","7,069.80","7,069.80","7,069.80","7,069.80"
E07,"3,445.80","3,445.80","3,760.80","3,905.10","4,095.30","4,095.30","4,244.70","4,244.70","4,500.60","4,500.60","4,644.90","4,644.90","4,900.50","4,900.50","5,113.50","5,113.50","5,258.70","5,258.70","5,413.50","5,413.50","5,473.20","5,473.20","5,674.50","5,674.50","5,782.50","5,782.50","6,193.50","6,193.50","6,193.50","6,193.50","6,193.50","6,193.50","6,193.50","6,193.50","6,193.50","6,193.50","6,193.50","6,193.50","6,193.50","6,193.50","6,193.50"
E06,"2,980.50","2,980.50","3,279.90","3,424.80","3,565.50","3,565.50","3,711.90","3,711.90","4,042.20","4,042.20","4,170.90","4,170.90","4,419.90","4,419.90","4,496.10","4,496.10","4,551.30","4,551.30","4,616.40","4,616.40","4,616.40","4,616.40","4,616.40","4,616.40","4,616.40","4,616.40","4,616.40","4,616.40","4,616.40","4,616.40","4,616.40","4,616.40","4,616.40","4,616.40","4,616.40","4,616.40","4,616.40","4,616.40","4,616.40","4,616.40","4,616.40"
E05,"2,730.30","2,730.30","2,914.20","3,055.20","3,199.20","3,199.20","3,423.90","3,423.90","3,658.50","3,658.50","3,851.70","3,851.70","3,874.80","3,874.80","3,874.80","3,874.80","3,874.80","3,874.80","3,874.80","3,874.80","3,874.80","3,874.80","3,874.80","3,874.80","3,874.80","3,874.80","3,874.80","3,874.80","3,874.80","3,874.80","3,874.80","3,874.80","3,874.80","3,874.80","3,874.80","3,874.80","3,874.80","3,874.80","3,874.80","3,874.80","3,874.80"
E04,"2,503.50","2,503.50","2,631.60","2,774.10","2,914.80","2,914.80","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30","3,039.30"
E03,"2,259.90","2,259.90","2,402.10","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60","2,547.60"
E02,"2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20","2,149.20"
E01,"1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60","1,917.60"
